model,lang,family,derived,fertility,boundary_recall,n_gold_boundaries
google/gemma-2-2b,ca,ment,ràpidament,3,0.0,1
google/gemma-2-2b,ca,ment,lentament,2,0.0,1
google/gemma-2-2b,ca,ment,clarament,2,0.0,1
google/gemma-2-2b,ca,ment,fàcilment,4,1.0,1
google/gemma-2-2b,ca,ment,difícilment,3,1.0,1
google/gemma-2-2b,ca,ment,fortament,2,0.0,1
google/gemma-2-2b,ca,ment,dolçament,3,0.0,1
google/gemma-2-2b,ca,ment,tristament,3,0.0,1
google/gemma-2-2b,ca,ment,netament,2,0.0,1
google/gemma-2-2b,ca,ment,segurament,2,0.0,1
google/gemma-2-2b,ca,ment,precisament,3,0.0,1
google/gemma-2-2b,ca,ment,normalment,2,1.0,1
google/gemma-2-2b,ca,ment,generalment,2,1.0,1
google/gemma-2-2b,ca,ment,públicament,3,1.0,1
google/gemma-2-2b,ca,ment,bàsicament,4,0.0,1
google/gemma-2-2b,ca,ment,directament,2,0.0,1
google/gemma-2-2b,ca,ment,profundament,3,0.0,1
google/gemma-2-2b,ca,ment,intensament,2,0.0,1
google/gemma-2-2b,ca,ment,exactament,3,0.0,1
google/gemma-2-2b,ca,ment,perfectament,3,1.0,1
google/gemma-2-2b,ca,ment,absolutament,3,0.0,1
google/gemma-2-2b,ca,ment,relativament,3,0.0,1
google/gemma-2-2b,ca,ment,seriosament,3,0.0,1
google/gemma-2-2b,ca,ment,nerviosament,3,0.0,1
google/gemma-2-2b,ca,ment,lliurement,2,0.0,1
google/gemma-2-2b,ca,ment,alegrement,3,1.0,1
google/gemma-2-2b,ca,ment,simplement,2,0.0,1
google/gemma-2-2b,ca,ment,possiblement,2,1.0,1
google/gemma-2-2b,ca,ment,evidentment,2,1.0,1
google/gemma-2-2b,ca,ment,recentment,2,1.0,1
google/gemma-2-2b,ca,ment,urgentment,2,1.0,1
google/gemma-2-2b,ca,ment,atentament,3,1.0,1
google/gemma-2-2b,ca,ment,fredament,2,0.0,1
google/gemma-2-2b,ca,ment,antigament,3,0.0,1
google/gemma-2-2b,ca,ment,llargament,3,0.0,1
google/gemma-2-2b,ca,ment,curtament,2,0.0,1
google/gemma-2-2b,ca,ment,ricament,2,1.0,1
google/gemma-2-2b,ca,ment,novament,2,0.0,1
google/gemma-2-2b,ca,ment,greument,2,0.0,1
google/gemma-2-2b,ca,ment,amplament,2,0.0,1
google/gemma-2-2b,ca,dim_et,gatet,2,1.0,1
google/gemma-2-2b,ca,dim_et,caseta,2,0.0,1
